date,player_1,player_2,winner,target
2024-01-01,Grigor Dimitrov,Holger Rune,Grigor Dimitrov,1
2024-01-01,Roman Safiullin,Holger Rune,Holger Rune,0
2024-01-01,Grigor Dimitrov,Jordan Thompson,Grigor Dimitrov,1
2024-01-01,James Duckworth,Holger Rune,Holger Rune,0
2024-01-01,Roman Safiullin,Matteo Arnaldi,Roman Safiullin,1
2024-01-01,Rafael Nadal,Jordan Thompson,Jordan Thompson,0
2024-01-01,Grigor Dimitrov,Rinky Hijikata,Grigor Dimitrov,1
2024-01-01,Alexander Shevchenko,Holger Rune,Holger Rune,0
2024-01-01,James Duckworth,Yannick Hanfmann,James Duckworth,1
2024-01-01,Alexei Popyrin,Roman Safiullin,Roman Safiullin,0
2024-01-01,Matteo Arnaldi,Lukas Klein,Matteo Arnaldi,1
2024-01-01,Jason Kubler,Rafael Nadal,Rafael Nadal,0
2024-01-01,Jordan Thompson,Ugo Humbert,Jordan Thompson,1
2024-01-01,Tomas Machac,Rinky Hijikata,Rinky Hijikata,0
2024-01-01,Grigor Dimitrov,Daniel Altmaier,Grigor Dimitrov,1
2024-01-01,Max Purcell,Holger Rune,Holger Rune,0
2024-01-01,Alexander Shevchenko,Luca Van Assche,Alexander Shevchenko,1
2024-01-01,J J Wolf,James Duckworth,James Duckworth,0
2024-01-01,Yannick Hanfmann,Sebastian Korda,Yannick Hanfmann,1
2024-01-01,Ben Shelton,Roman Safiullin,Roman Safiullin,0
2024-01-01,Alexei Popyrin,Christopher Oconnell,Alexei Popyrin,1
2024-01-01,Marton Fucsovics,Matteo Arnaldi,Matteo Arnaldi,0
2024-01-01,Lukas Klein,Sebastian Baez,Lukas Klein,1
2024-01-01,Aslan Karatsev,Jason Kubler,Jason Kubler,0
2024-01-01,Rafael Nadal,Dominic Thiem,Rafael Nadal,1
2024-01-01,Aleksandar Vukic,Jordan Thompson,Jordan Thompson,0
2024-01-01,Ugo Humbert,Alex Michelsen,Ugo Humbert,1
2024-01-01,Tomas Martin Etcheverry,Tomas Machac,Tomas Machac,0
2024-01-01,Rinky Hijikata,Thanasi Kokkinakis,Rinky Hijikata,1
2024-01-01,Li Tu,Daniel Altmaier,Daniel Altmaier,0
2024-01-01,Grigor Dimitrov,Andy Murray,Grigor Dimitrov,1
2024-01-01,Hubert Hurkacz,Alexander Zverev,Alexander Zverev,0
2024-01-01,Hubert Hurkacz,Adrian Mannarino,Hubert Hurkacz,1
2024-01-01,Alexander Zverev,Alex De Minaur,Alex De Minaur,0
2024-01-01,Hubert Hurkacz,Zhizhen Zhang,Hubert Hurkacz,1
2024-01-01,Adrian Mannarino,Casper Ruud,Casper Ruud,0
2024-01-01,Alex De Minaur,Novak Djokovic,Alex De Minaur,1
2024-01-01,Stefanos Tsitsipas,Alexander Zverev,Alexander Zverev,0
2024-01-01,Alejandro Davidovich Fokina,Hubert Hurkacz,Alejandro Davidovich Fokina,1
2024-01-01,Thiago Seyboth Wild,Hubert Hurkacz,Hubert Hurkacz,0
2024-01-01,Alejandro Davidovich Fokina,Thiago Seyboth Wild,Alejandro Davidovich Fokina,1
2024-01-01,Steven Diez,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-01-01,Nicolas Jarry,Stefanos Sakellaridis,Nicolas Jarry,1
2024-01-01,Steven Diez,Nicolas Jarry,Nicolas Jarry,0
2024-01-01,Taylor Fritz,Cameron Norrie,Taylor Fritz,1
2024-01-01,Taylor Fritz,Alex De Minaur,Alex De Minaur,0
2024-01-01,Cameron Norrie,Alex De Minaur,Cameron Norrie,1
2024-01-01,Lorenzo Sonego,Adrian Mannarino,Adrian Mannarino,0
2024-01-01,Alexander Zverev,Adrian Mannarino,Alexander Zverev,1
2024-01-01,Lorenzo Sonego,Alexander Zverev,Alexander Zverev,0
2024-01-01,Zhizhen Zhang,Jiri Lehecka,Zhizhen Zhang,1
